タグ,Diff_R,Diff_G,Diff_B,Diff_A,Spec_R,Spec_G,Spec_B,Spec_A,スペキュラ強度,Emsv_R,Emsv_G,Emsv_B,エミッシブ,ディフューズマップ,ノーマルマップ,スペキュラマップ,ブレンドモード
PlayerModel,0.4,0.4,0.6,1,1,1,1,1,150,0,0,0,0,Resource/Texture/Wall_S050.jpg,Resource/Texture/DefaultN_Map.png,-1,0
Soldier_body,1,1,1,1,1,1,1,1,50,0,0,0,0,Resource/Model/Ranger/Textures/Soldier_Body_diffuse.png,Resource/Model/Ranger/Textures/Soldier_Body_normal.png,Resource/Model/Ranger/Textures/Soldier_Body_specular.png,0
Soldier_head,1,1,1,1,1,1,1,1,50,0,0,0,0,Resource/Model/Ranger/Textures/Soldier_head_diffuse.png,Resource/Model/Ranger/Textures/Soldier_head_normal.png,Resource/Model/Ranger/Textures/Soldier_head_specular.png,0
Bullet,1,1,1,1,1,1,1,1,200,0,1,1,25,Resource/Texture/rust_coarse_01_arm_1k.jpg,-1,-1,0
AssultRifle,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Texture/Wall_W030.jpg,-1,-1,0
DirLight,1,1,1,1,1,1,1,1,100,1,1,1,0.1,Resource/Texture/Light_Img.png,-1,-1,0
Canonn,1,1,1,1,1,1,1,1,20,0,1,0,200,Resource/Texture/Wall_W040.jpg,Resource/Texture/Wall_W040_n.png,-1,0
Ant,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Model/Enemy/GiantAnt01/textures/new_bake_ant.png,Resource/Model/Enemy/GiantAnt01/textures/new_bake_ant_n.png,-1,0
B_2,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Model/b-2/textures/ggg_diffuseOriginal.jpeg,Resource/Model/b-2/textures/ggg_normal.jpeg,Resource/Model/b-2/textures/ggg_metallic.jpeg,0
Claymore,1,1,1,1,1,1,1,1,200,0,0,0,0,Resource/Model/Claymore/Mat_Base_Color.png,Resource/Model/Claymore/Mat_Normal_DirectX.png,Resource/Model/Claymore/Mat_Roughness.png,0
Building01_Top,1,1,1,1,1,1,1,1,150,0,0,0,0,Resource/Model/Building/02/Textures/tex04.jpg,Resource/Texture/DefaultN_Map.png,-1,0
Building01_Base1,1,1,1,1,1,1,1,1,150,0,0,0,0,Resource/Model/Building/02/Textures/tex01.jpg,Resource/Texture/DefaultN_Map.png,-1,0
Building01_Base2,1,1,1,1,1,1,1,1,150,0,0,0,0,Resource/Model/Building/02/Textures/tex02.jpg,Resource/Texture/DefaultN_Map.png,-1,0
Building01_Base3,1,1,1,1,1,1,1,1,150,0,0,0,0,Resource/Model/Building/02/Textures/tex03.jpg,Resource/Texture/DefaultN_Map.png,-1,0
Building,1,1,1,1,1,1,1,1,150,0,0,0,0,Resource/Model/Building/01/texture/building5-lo.jpg,Resource/Texture/DefaultN_Map.png,-1,0
MotherShip,1,1,1,1,1,1,1,1,150,0,0,0,0,Resource/Texture/metal_plate_02_diff_2k.jpg,Resource/Texture/DefaultN_Map.png,-1,0
